Unique ID,Unique Lake,sampledate,sample year,deepth sample,Value Flags TURB,TURB (NTU)
CAN105650,CAN10422,15/08/2008,NA,0,NA,1.28
CAN105651,CAN10422,04/09/2008,NA,0,NA,1.15
CAN105653,CAN10424,17/10/1990,NA,0,NA,0.7
CAN105654,CAN10424,12/07/1990,NA,0,NA,0.42
CAN105655,CAN10424,13/06/1990,NA,0,NA,0.72
CAN105657,CAN10425,30/09/2013,NA,7.5,NA,7.66
CAN105658,CAN10425,30/09/2013,NA,0,NA,1.31
CAN105663,CAN10429,02/09/1998,NA,0,NA,0.51
CAN105671,CAN10433,08/07/2014,NA,0,NA,0.66
CAN105672,CAN10433,08/07/2014,NA,5,NA,0.73
CAN105693,CAN10445,29/08/2005,NA,0,NA,1.2
CAN105696,CAN10447,30/10/1997,NA,0,NA,0.8
CAN105697,CAN10447,14/11/2002,NA,0,NA,2.36
CAN105698,CAN10447,16/08/1998,NA,0,NA,0.6
CAN105844,CAN10474,20/09/2005,NA,0,NA,0.59
CAN105853,CAN10480,21/09/2005,NA,0,NA,0.41
CAN105955,CAN10494,02/08/2005,NA,0,NA,0.72
CAN105979,CAN10496,31/07/2007,NA,0,NA,0.58
CAN106019,CAN10506,30/07/2007,NA,0,NA,0.77
CAN106069,CAN10508,30/07/1996,NA,0,NA,0.7
CAN106070,CAN10508,09/08/1996,NA,0,NA,1.6
CAN106273,CAN10521,02/08/1996,NA,0,NA,1.7
CHN106360,CHN10532,05/06/2021,NA,0.5,NA,22
CHN106361,CHN10532,05/06/2021,NA,0.5,NA,16.9
CHN106362,CHN10532,05/06/2021,NA,0.5,NA,17.7
CHN106363,CHN10532,05/06/2021,NA,0.5,NA,21.1
CHN106364,CHN10532,05/06/2021,NA,0.5,NA,18.9
CHN106365,CHN10532,05/06/2021,NA,0.5,NA,17.5
CHN106366,CHN10532,05/06/2021,NA,0.5,NA,18.5
CHN106367,CHN10532,05/06/2021,NA,0.5,NA,11.5
CHN106368,CHN10532,05/06/2021,NA,0.5,NA,7.43
CHN106369,CHN10532,05/06/2021,NA,0.5,NA,11.7
CHN106370,CHN10532,05/06/2021,NA,0.5,NA,29.6
CHN106371,CHN10532,05/06/2021,NA,0.5,NA,30.6
CHN106372,CHN10532,05/06/2021,NA,0.5,NA,6.81
CHN106373,CHN10532,05/06/2021,NA,0.5,NA,7.18
CHN106374,CHN10532,05/06/2021,NA,0.5,NA,8.28
CHN106375,CHN10532,05/06/2021,NA,0.5,NA,15.7
CHN106381,CHN10535,09/11/2021,NA,0.5,NA,73.8
CHN106382,CHN10535,09/11/2021,NA,0.5,NA,82.9
CHN106383,CHN10535,09/11/2021,NA,0.5,NA,60.45
CHN106384,CHN10535,09/11/2021,NA,0.5,NA,70.05
CHN106388,CHN10536,09/05/2021,NA,0.5,NA,10.9
CHN106389,CHN10536,09/05/2021,NA,0.5,NA,9.14
CHN106390,CHN10536,09/05/2021,NA,0.5,NA,12.6
CHN106391,CHN10536,09/05/2021,NA,0.5,NA,6.94
CHN106392,CHN10536,09/05/2021,NA,0.5,NA,6.48
CHN106393,CHN10536,09/05/2021,NA,0.5,NA,7.14
CHN106394,CHN10536,10/11/2021,NA,0.5,NA,37.9
CHN106395,CHN10536,10/11/2021,NA,0.5,NA,44.2
CHN106396,CHN10536,10/11/2021,NA,0.5,NA,24.3
CHN106397,CHN10536,10/11/2021,NA,0.5,NA,63
CHN106398,CHN10536,09/05/2021,NA,0.5,NA,6.09
CHN106399,CHN10536,09/05/2021,NA,0.5,NA,7.15
CHN106400,CHN10536,10/11/2021,NA,0.5,NA,30.3
CHN106401,CHN10536,10/11/2021,NA,0.5,NA,15.6
CHN106402,CHN10536,10/11/2021,NA,0.5,NA,17.6
CHN106403,CHN10536,10/11/2021,NA,0.5,NA,49.7
CHN106404,CHN10536,10/11/2021,NA,0.5,NA,46.1
CHN106405,CHN10536,10/11/2021,NA,0.5,NA,77.4
CHN106406,CHN10536,10/11/2021,NA,0.5,NA,52.3
CHN106407,CHN10536,11/09/2021,NA,0.5,NA,16.475
CHN106408,CHN10536,10/11/2021,NA,0.5,NA,62.95
CHN106409,CHN10536,11/09/2021,NA,0.5,NA,14.875
CHN106410,CHN10536,11/09/2021,NA,0.5,NA,14.925
CHN106411,CHN10536,10/11/2021,NA,0.5,NA,68.8
CHN106412,CHN10536,10/11/2021,NA,0.5,NA,68.65
CHN106413,CHN10536,11/09/2021,NA,0.5,NA,14.7
